Running with 50000 chromosomes for 1 generations
Chromosome stats:
  IN_H: 12
  IN_W: 12
  HLC: 2
  NPL: 128
Level seed: 1215069295
srand seed: 10
----------------------------
Running generation 1/1
Player 588 fitness: 99.9667
Player 589 fitness: 936.2333
Player 590 fitness: 95.5667
Player 591 fitness: 185.6000
Player 592 fitness: 284.7667
Player 593 fitness: 96.1333
Player 594 fitness: 95.3667
Player 595 fitness: 95.5667
Player 596 fitness: 96.1333
Player 597 fitness: 99.7667
Player 598 fitness: 148.8000
Player 599 fitness: 96.1333
Player 600 fitness: 122.8667
Player 601 fitness: 114.2667
Player 602 fitness: 95.5667
Player 603 fitness: 95.3667
Player 604 fitness: 139.8333
Player 605 fitness: 96.1333
Player 606 fitness: 95.5667
Player 607 fitness: 99.9667
Player 608 fitness: 96.1333
Player 609 fitness: 95.5667
Player 610 fitness: 99.9667
Player 611 fitness: 403.8333
Player 612 fitness: 95.5667
Player 613 fitness: 106.2000
Player 614 fitness: 95.3667
Player 615 fitness: 321.5333
Player 616 fitness: 95.3667
Player 617 fitness: 95.3667
Player 618 fitness: 99.9667
Player 619 fitness: 95.5667
Player 620 fitness: 99.9667
Player 621 fitness: 915.3666
Player 622 fitness: 95.3667
Player 623 fitness: 222.8667
Player 624 fitness: 99.7667
Player 625 fitness: 95.5667
Player 626 fitness: 95.3667
Player 627 fitness: 96.1333
Player 628 fitness: 263.2667
Player 629 fitness: 99.7667
Player 630 fitness: 95.3667
Player 631 fitness: 96.1333
Player 632 fitness: 205.4667
Player 633 fitness: 95.5667
Player 634 fitness: 99.7667
Player 635 fitness: 96.1333
Player 636 fitness: 96.1333
Player 637 fitness: 95.5667
Player 638 fitness: 115.0667
Player 639 fitness: 115.0667
Player 640 fitness: 99.7667
Player 641 fitness: 225.5667
Player 642 fitness: 525.2000
Player 643 fitness: 97.8667
Player 644 fitness: 99.9667
Player 645 fitness: 99.9667
Player 646 fitness: 95.5667
Player 647 fitness: 96.1333
Player 648 fitness: 112.8667
Player 649 fitness: 95.5667
Player 650 fitness: 99.9667
Player 651 fitness: 196.2333
Player 652 fitness: 185.1333
Player 653 fitness: 119.1333
Player 654 fitness: 99.9667
Player 655 fitness: 130.0000
Player 656 fitness: 95.5667
Player 657 fitness: 95.5667
Player 658 fitness: 245.8333
Player 659 fitness: 96.1333
Player 660 fitness: 330.9667
Player 661 fitness: 99.7667
Player 662 fitness: 95.5667
Player 663 fitness: 566.5000
Player 664 fitness: 95.5667
Player 665 fitness: 95.3667
Player 666 fitness: 95.5667
Player 667 fitness: 99.9667
Player 668 fitness: 96.1333
Player 669 fitness: 95.3667
Player 670 fitness: 99.7667
Player 671 fitness: 265.7333
Player 672 fitness: 95.5667
Player 673 fitness: 95.3667
Player 674 fitness: 186.7667
Player 675 fitness: 99.7667
Player 676 fitness: 136.4000
Player 677 fitness: 99.9667
Player 678 fitness: 511.3000
Player 679 fitness: 95.3667
Player 680 fitness: 96.1333
Player 681 fitness: 552.4000
Player 682 fitness: 95.3667
Player 683 fitness: 651.3333
Player 684 fitness: 99.9667
Player 685 fitness: 95.5667
Player 686 fitness: 99.9667
Player 687 fitness: 95.3667
Player 688 fitness: 204.8333
Player 689 fitness: 95.5667
Player 690 fitness: 142.8000
Player 691 fitness: 209.5333
Player 692 fitness: 228.4333
Player 693 fitness: 151.6000
Player 694 fitness: 99.7667
Player 695 fitness: 95.5667
Player 696 fitness: 95.5667
Player 697 fitness: 95.5667
Player 698 fitness: 95.3667
Player 699 fitness: 95.5667
Player 700 fitness: 95.3667
Player 701 fitness: 99.7667
Player 702 fitness: 124.8667
Player 703 fitness: 194.6333
Player 704 fitness: 486.4667
Player 705 fitness: 99.9667
Player 706 fitness: 432.4000
Player 707 fitness: 868.4000
Player 708 fitness: 108.3333
Player 709 fitness: 106.7000
Player 710 fitness: 255.5000
Player 711 fitness: 95.3667
Player 712 fitness: 99.9667
Player 713 fitness: 95.3667
Player 714 fitness: 99.9667
Player 715 fitness: 99.9667
Player 716 fitness: 99.9667
Player 717 fitness: 96.1333
Player 718 fitness: 121.4000
Player 719 fitness: 99.9667
Player 720 fitness: 96.1333
Player 721 fitness: 114.2667
Player 722 fitness: 95.3667
Player 723 fitness: 95.5667
Player 724 fitness: 99.9667
Player 725 fitness: 961.7333
Player 726 fitness: 115.0667
Player 727 fitness: 96.1333
Player 728 fitness: 95.5667
Player 729 fitness: 100.6333
Player 730 fitness: 95.5667
Player 731 fitness: 95.5667
Player 732 fitness: 95.5667
Player 733 fitness: 99.9667
Player 734 fitness: 95.5667
Player 735 fitness: 1064.8333
Player 736 fitness: 185.6000
Player 737 fitness: 100.6333
Player 738 fitness: 95.3667
Player 739 fitness: 95.5667
Player 740 fitness: 95.3667
Player 741 fitness: 126.9000
Player 742 fitness: 96.1333
Player 743 fitness: 1048.2666
Player 744 fitness: 99.9667
Player 745 fitness: 114.3000
Player 746 fitness: 154.2000
Player 747 fitness: 96.1333
Player 748 fitness: 96.1333
Player 749 fitness: 224.2000
Player 750 fitness: 99.9667
Player 751 fitness: 99.9667
Player 752 fitness: 95.5667
Player 753 fitness: 95.5667
Player 754 fitness: 95.5667
Player 755 fitness: 95.5667
Player 756 fitness: 95.5667
